name,number,nation,appearances,goals,assists,shots,big_chances_created,clean_sheets,saves,goals_conceded,player_image,nation_flag,team,position
Luke Butterfield,69,Scotland,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,https://resources.premierleague.com/premierleague/flags/GB-SCT.png,Everton,Midfielder
Callum Bates,92,England,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Everton,Midfielder
Carlos Alcaraz,24,Argentina,7,1,1,0,4,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p502697.png,https://resources.premierleague.com/premierleague/flags/AR.png,Everton,Midfielder
Youssef Chermiti,17,Portugal,1,0,0,2,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p491012.png,https://resources.premierleague.com/premierleague/flags/PT.png,Everton,Forward
Dwight McNeil,7,England,13,3,3,23,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p433154.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Everton,Forward
Dominic Calvert-Lewin,9,England,22,3,1,46,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p177815.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Everton,Forward
Jack Harrison,11,England,25,1,0,Chances,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p221399.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Everton,Forward
Iliman Ndiaye,10,Senegal,24,6,0,25,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p440993.png,https://resources.premierleague.com/premierleague/flags/SN.png,Everton,Forward
Armando Broja,22,Albania,6,0,0,4,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p440323.png,https://resources.premierleague.com/premierleague/flags/AL.png,Everton,Forward
Beto,14,Guinea-Bissau,21,6,0,32,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p486385.png,https://resources.premierleague.com/premierleague/flags/GW.png,Everton,Forward
Martin Sherif,67,Netherlands,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,https://resources.premierleague.com/premierleague/flags/NL.png,Everton,Forward
Isaac Heath,83,England,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Everton,Forward
Coby Ebere,84,Germany,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,https://resources.premierleague.com/premierleague/flags/DE.png,Everton,Forward
Bernd Leno,1,Germany,29,0,0,0,0,5,82,38,https://resources.premierleague.com/premierleague/photos/players/110x140/p80201.png,https://resources.premierleague.com/premierleague/flags/DE.png,Fulham,Goalkeeper
Steven Benda,23,Germany,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p428971.png,https://resources.premierleague.com/premierleague/flags/DE.png,Fulham,Goalkeeper
Kenny Tete,2,Netherlands,15,0,2,0,0,2,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p167074.png,https://resources.premierleague.com/premierleague/flags/NL.png,Fulham,Defender
Calvin Bassey,3,Nigeria,28,1,0,0,0,5,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p232892.png,https://resources.premierleague.com/premierleague/flags/NG.png,Fulham,Defender
Issa Diop,31,France,20,0,0,0,0,1,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p219924.png,https://resources.premierleague.com/premierleague/flags/FR.png,Fulham,Defender
Defender,United,States,29,0,10,0,0,5,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p169528.png,https://resources.premierleague.com/premierleague/flags/US.png,Fulham,States
Timothy Castagne,21,Belgium,19,0,1,0,0,3,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p166477.png,https://resources.premierleague.com/premierleague/flags/BE.png,Fulham,Defender
Jorge Cuenca,15,Spain,5,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p246301.png,https://resources.premierleague.com/premierleague/flags/ES.png,Fulham,Defender
Joachim Andersen,5,Denmark,21,0,0,0,0,4,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p174874.png,https://resources.premierleague.com/premierleague/flags/DK.png,Fulham,Defender
Samuel Amissah,35,England,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Fulham,Defender
Harrison Reed,6,England,10,0,0,0,1,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p153366.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Fulham,Midfielder
Harry Wilson,8,Wales,19,5,1,0,2,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p153682.png,https://resources.premierleague.com/premierleague/flags/GB-WLS.png,Fulham,Midfielder
Tom Cairney,10,Scotland,19,1,0,0,3,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p76357.png,https://resources.premierleague.com/premierleague/flags/GB-SCT.png,Fulham,Midfielder
Andreas Pereira,18,Brazil,26,2,4,0,6,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p156689.png,https://resources.premierleague.com/premierleague/flags/BR.png,Fulham,Midfielder
Sasa Lukic,20,Serbia,22,0,2,0,4,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p212314.png,https://resources.premierleague.com/premierleague/flags/RS.png,Fulham,Midfielder
Josh King,24,England,5,0,0,0,1,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p577725.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Fulham,Midfielder
Ryan Sessegnon,30,England,7,2,0,0,1,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p184349.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Fulham,Midfielder
Smith Rowe,32,England,26,5,2,0,1,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p209289.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Fulham,Midfielder
Sander Berge,16,Norway,22,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p207189.png,https://resources.premierleague.com/premierleague/flags/NO.png,Fulham,Midfielder
Raúl Jiménez,7,Mexico,29,10,3,77,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p102057.png,https://resources.premierleague.com/premierleague/flags/MX.png,Fulham,Forward
Rodrigo Muniz,9,Brazil,28,6,1,31,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p244042.png,https://resources.premierleague.com/premierleague/flags/BR.png,Fulham,Forward
Carlos Vinícius,12,Brazil,1,0,0,1,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p245824.png,https://resources.premierleague.com/premierleague/flags/BR.png,Fulham,Forward
Adama Traoré,11,Spain,27,2,5,34,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p159533.png,https://resources.premierleague.com/premierleague/flags/ES.png,Fulham,Forward
Alex Iwobi,17,Nigeria,29,7,4,53,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p153133.png,https://resources.premierleague.com/premierleague/flags/NG.png,Fulham,Forward
Martial Godo,47,England,1,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p573062.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Fulham,Forward
Reiss Nelson,19,England,12,1,1,12,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p200641.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Fulham,Forward
Willian,22,Brazil,5,0,0,3,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p47431.png,https://resources.premierleague.com/premierleague/flags/BR.png,Fulham,Forward
Christian Walton,28,England,6,0,0,0,0,1,17,16,https://resources.premierleague.com/premierleague/photos/players/110x140/p108813.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Ipswich Town,Goalkeeper
Cieran Slicker,13,Scotland,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p434044.png,https://resources.premierleague.com/premierleague/flags/GB-SCT.png,Ipswich Town,Goalkeeper
Arijanet Muric,1,Kosovo,18,0,0,0,0,1,69,33,https://resources.premierleague.com/premierleague/photos/players/110x140/p232917.png,https://resources.premierleague.com/premierleague/flags/XK.png,Ipswich Town,Goalkeeper
Alex Palmer,31,England,5,0,0,0,0,0,17,13,https://resources.premierleague.com/premierleague/photos/players/110x140/p112520.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Ipswich Town,Goalkeeper
Leif Davis,3,England,28,1,2,0,0,2,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p455084.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Ipswich Town,Defender
Luke Woolfenden,6,England,13,0,0,0,0,1,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p220583.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Ipswich Town,Defender
Cameron Burgess,15,Australia,11,0,1,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p122411.png,https://resources.premierleague.com/premierleague/flags/AU.png,Ipswich Town,Defender
Defender,DR,Congo,14,0,1,0,0,1,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p180804.png,https://resources.premierleague.com/premierleague/flags/CD.png,Ipswich Town,Congo
Jacob Greaves,24,England,19,1,0,0,0,2,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p449429.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Ipswich Town,Defender
Ben Johnson,18,England,17,0,1,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p222018.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Ipswich Town,Defender
Conor Townsend,22,England,3,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p108053.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Ipswich Town,Defender
Dara O'Shea,26,Ireland,26,0,1,0,0,2,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p216616.png,https://resources.premierleague.com/premierleague/flags/IE.png,Ipswich Town,Defender
Ben Godfrey,44,England,2,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p198826.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Ipswich Town,Defender
Sam Morsy,5,Egypt,24,1,1,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p74944.png,https://resources.premierleague.com/premierleague/flags/EG.png,Ipswich Town,Midfielder
Jack Taylor,14,Ireland,23,1,0,0,1,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p231899.png,https://resources.premierleague.com/premierleague/flags/IE.png,Ipswich Town,Midfielder
Massimo Luongo,25,Australia,7,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p106606.png,https://resources.premierleague.com/premierleague/flags/AU.png,Ipswich Town,Midfielder
Kalvin Phillips,8,England,17,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p155405.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Ipswich Town,Midfielder
Sam Szmodics,23,Ireland,19,4,0,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p172453.png,https://resources.premierleague.com/premierleague/flags/IE.png,Ipswich Town,Midfielder
